Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H8,1.0,0.298277568,FAUC,0.778,52.767,9.2,9.2,0.5,0.389,0.116029973952
1H8,1.0,0.298277568,FAUC,0.49,52.767,9.22,9.22,0.5,0.245,0.07307800416
1H8,1.0,0.298277568,FAUC,1.008,52.767,9.23,9.23,0.5,0.504,0.150331894272
1H8,1.0,0.298277568,FAUC,0.634,52.767,9.23,9.23,0.5,0.317,0.094553989056
1H8,1.0,0.298277568,FAUC,0.8059999999999999,52.767,9.25,9.25,0.5,0.40299999999999997,0.12020585990399998
1H8,1.0,0.298277568,FAUC,0.605,52.767,9.3,9.3,0.5,0.3025,0.09022896432
1H8,1.0,0.149138784,FAUC,0.518,52.767,9.63,9.63,0.5,0.259,0.038626945056
1H8,1.0,0.149138784,FAUC,1.094,52.767,9.68,9.68,0.5,0.547,0.081578914848
1H8,1.0,0.298277568,FAUC,0.5760000000000001,52.767,9.94,9.94,0.5,0.28800000000000003,0.08590393958400001
1H8,1.0,1.5,DWSH,1.358,52.767,9.97,9.97,1.0,1.358,2.037
1H8,1.0,0.298277568,FAUC,0.979,52.767,10.01,10.01,0.5,0.4895,0.146006869536
1H8,1.0,0.298277568,FAUC,0.461,52.767,10.02,10.02,0.5,0.2305,0.06875297942400001
1H8,1.0,0.149138784,FAUC,0.8059999999999999,52.767,10.07,10.07,0.5,0.40299999999999997,0.06010292995199999
1H8,1.0,0.298277568,FAUC,0.34600000000000003,52.767,10.07,10.07,0.5,0.17300000000000001,0.051602019264
1H8,1.0,1.0,DWSH,1.162,52.767,10.11,10.11,1.0,1.162,1.162
1H8,1.0,1.3330000000000002,DWSH,1.35,52.767,10.22,10.22,1.0,1.35,1.7995500000000004
1H8,1.0,0.149138784,FAUC,0.7490000000000001,52.767,10.4,10.4,0.5,0.37450000000000006,0.055852474608000004
1H8,1.0,0.149138784,FAUC,0.7490000000000001,52.767,11.36,11.36,0.5,0.37450000000000006,0.055852474608000004
1H8,1.0,0.298277568,FAUC,0.605,52.767,11.49,11.49,0.5,0.3025,0.09022896432
1H8,1.0,0.4474163519999999,FAUC,0.787,52.767,11.55,11.55,0.5,0.3935,0.17605833451199998
1H8,1.0,0.149138784,FAUC,0.461,52.767,11.61,11.61,0.5,0.2305,0.034376489712000004
1H8,1.0,0.149138784,FAUC,0.403,52.767,14.3,14.3,0.5,0.2015,0.030051464976
1H8,1.0,0.298277568,FAUC,0.835,52.767,14.42,14.42,0.5,0.4175,0.12453088463999999
1H8,1.0,0.149138784,FAUC,0.979,52.767,15.62,15.62,0.5,0.4895,0.073003434768
1H8,1.0,0.298277568,FAUC,0.4320000000000001,52.767,15.65,15.65,0.5,0.21600000000000005,0.06442795468800001
1H8,1.0,0.149138784,FAUC,0.461,52.767,15.67,15.67,0.5,0.2305,0.034376489712000004
1H8,1.0,3.1319144640000003,SHWR,2.0,52.767,15.83,15.83,0.8393135474748123,1.6786270949496247,5.2573164783350315
1H8,1.0,0.298277568,FAUC,0.662,52.767,17.8,17.8,0.5,0.331,0.098729875008
1H8,1.0,0.596555136,FAUC,0.8059999999999999,52.767,17.85,17.85,0.5,0.40299999999999997,0.24041171980799997
1H8,1.0,0.298277568,FAUC,0.49,52.767,17.89,17.89,0.5,0.245,0.07307800416
1H8,1.0,0.8948327039999998,FAUC,0.826,52.767,18.03,18.03,0.5,0.413,0.3695659067519999
1H8,1.0,5.070718656,SHWR,2.0,52.767,18.2,18.2,0.8393135474748123,1.6786270949496247,8.511845726828145
1H8,1.0,2.386220544,SHWR,2.0,52.767,18.3,18.3,0.8393135474748123,1.6786270949496247,4.005574459683833
1H8,1.0,0.4474163519999999,FAUC,0.8640000000000001,52.767,18.98,18.98,0.5,0.43200000000000005,0.19328386406399997
1H8,1.0,0.298277568,FAUC,1.181,52.767,18.99,18.99,0.5,0.5905,0.176132903904
1H8,1.0,0.149138784,FAUC,0.403,52.767,19.06,19.06,0.5,0.2015,0.030051464976
1H8,1.0,0.4474163519999999,FAUC,0.422,52.767,19.07,19.07,0.5,0.211,0.09440485027199998
1H8,1.0,0.298277568,FAUC,0.922,52.767,19.12,19.12,0.5,0.461,0.13750595884800002
1H8,1.0,2.386220544,FAUC,1.156,52.767,19.5,19.5,0.5,0.578,1.379235474432
1H8,1.0,0.298277568,FAUC,0.605,52.767,19.55,19.55,0.5,0.3025,0.09022896432
1H8,1.0,0.298277568,FAUC,0.7490000000000001,52.767,19.57,19.57,0.5,0.37450000000000006,0.11170494921600001
1H8,1.0,1.043971488,FAUC,1.152,52.767,19.58,19.58,0.5,0.576,0.6013275770879999
1H8,1.0,0.596555136,FAUC,1.195,52.767,19.6,19.6,0.5,0.5975,0.35644169376
1D4,2.0,1.410556896,FAUC,1.44,52.82749999999999,29.87,5.87,0.5,0.72,1.01560096512
1D4,2.0,0.35292384,FAUC,0.173,52.82749999999999,30.17,6.17,0.5,0.0865,0.030527912159999997
1D4,2.0,0.17646192,FAUC,0.34600000000000003,52.82749999999999,30.18,6.18,0.5,0.17300000000000001,0.03052791216
1D4,2.0,3.526961472,SHWR,1.644,52.82749999999999,30.94,6.94,0.8391571836422856,1.3795744099079175,4.86570579150236
1D4,2.0,0.35292384,FAUC,1.181,52.82749999999999,31.16,7.16,0.5,0.5905,0.20840152752
1D4,2.0,0.70584768,FAUC,1.368,52.82749999999999,31.19,7.19,0.5,0.684,0.48279981312000003
1D4,2.0,0.17646192,FAUC,0.403,52.82749999999999,31.28,7.28,0.5,0.2015,0.03555707688
1D4,2.0,4.231670688,FAUC,1.104,52.82749999999999,31.61,7.61,0.5,0.552,2.3358822197760003
1D4,2.0,0.52938576,FAUC,1.056,52.82749999999999,32.38,8.38,0.5,0.528,0.27951568128000004
1D4,2.0,1.057633056,FAUC,1.68,52.82749999999999,32.4,8.4,0.5,0.84,0.88841176704
1D4,2.0,0.17646192,FAUC,0.34600000000000003,52.82749999999999,32.52,8.52,0.5,0.17300000000000001,0.03052791216
1D4,2.0,0.17646192,FAUC,1.152,52.82749999999999,32.59,8.59,0.5,0.576,0.10164206591999998
1D4,2.0,0.52938576,FAUC,0.634,52.82749999999999,41.56,17.56,0.5,0.317,0.16781528592
1D4,2.0,0.52938576,FAUC,1.709,52.82749999999999,42.08,18.08,0.5,0.8545,0.4523601319200001
4E6,3.0,1.938804192,FAUC,1.298,52.8535,50.21,2.21,0.5,0.649,1.258283920608
4E6,3.0,0.298277568,FAUC,1.382,52.8535,55.68,7.68,0.5,0.691,0.20610979948799998
4E6,3.0,0.149138784,FAUC,0.5760000000000001,52.8535,56.66,8.66,0.5,0.28800000000000003,0.04295196979200001
4E6,3.0,1.938804192,FAUC,0.04,52.8535,56.87,8.87,0.5,0.02,0.03877608384
4E6,3.0,15.362433216,FAUC,1.14,52.8535,57.78,9.78,0.5,0.57,8.75658693312
4E6,3.0,11.50401,CWSH,1.087,52.8535,58.11,10.11,0.22,0.23914,2.7510689513999997
4E6,3.0,0.596555136,FAUC,1.6269999999999998,52.8535,58.26,10.26,0.5,0.8134999999999999,0.4852976031359999
4E6,3.0,0.6759899999999999,CWSH,0.408,52.8535,58.4,10.4,0.22,0.08975999999999999,0.06067686239999998
4E6,3.0,20.97599,CWSH,0.586,52.8535,58.41,10.41,0.22,0.12892,2.7042246308
4E6,3.0,0.6759899999999999,CWSH,0.433,52.8535,58.68,10.68,0.22,0.09526,0.06439480739999999
4E6,3.0,1.015,CWSH,0.317,52.8535,58.69,10.69,0.22,0.06974,0.07078609999999999
4E6,3.0,0.4474163519999999,FAUC,0.691,52.8535,59.59,11.59,0.5,0.3455,0.15458234961599995
4E6,3.0,10.888269695999998,SHWR,2.0,52.8535,59.68,11.68,0.8390898924315932,1.6781797848631863,18.272474095965627
4E6,3.0,0.149138784,FAUC,0.403,52.8535,60.22,12.22,0.5,0.2015,0.030051464976
4E6,3.0,0.298277568,FAUC,1.094,52.8535,60.69,12.69,0.5,0.547,0.163157829696
4E6,3.0,0.596555136,FAUC,0.7340000000000001,52.8535,60.69,12.69,0.5,0.36700000000000005,0.21893573491200002
4E6,3.0,11.50401,CWSH,1.084,52.8535,60.81,12.81,0.22,0.23848000000000003,2.7434763048
4E6,3.0,0.6759899999999999,CWSH,0.406,52.8535,61.08,13.08,0.22,0.08932000000000001,0.0603794268
4E6,3.0,20.97599,CWSH,0.588,52.8535,61.09,13.09,0.22,0.12936,2.7134540664
4E6,3.0,0.6759899999999999,CWSH,0.423,52.8535,61.36,13.36,0.22,0.09306,0.06290762939999998
4E6,3.0,1.35401,CWSH,0.229,52.8535,61.37,13.37,0.22,0.05038,0.0682150238
4E6,3.0,0.596555136,FAUC,1.483,52.8535,61.71,13.71,0.5,0.7415,0.442345633344
4E6,3.0,0.4474163519999999,FAUC,3.533,52.8535,62.01,14.01,0.5,1.7665,0.7903609858079998
4E6,3.0,0.596555136,FAUC,1.21,52.8535,62.44,14.44,0.5,0.605,0.36091585728
4E6,3.0,7.755216767999999,SHWR,2.0,52.8535,64.16,16.16,0.8390898924315932,1.6781797848631863,13.014648007289612
4E6,3.0,0.4474163519999999,FAUC,1.248,52.8535,65.37,17.37,0.5,0.624,0.27918780364799994
4E6,3.0,0.74569392,FAUC,1.601,52.8535,65.51,17.51,0.5,0.8005,0.59692798296
4E6,3.0,1.043971488,FAUC,1.218,52.8535,65.53999999999999,17.54,0.5,0.609,0.6357786361919999
4E6,3.0,0.298277568,FAUC,0.259,52.8535,65.56,17.56,0.5,0.1295,0.038626945056
4E6,3.0,0.4474163519999999,FAUC,0.653,52.8535,65.57,17.57,0.5,0.3265,0.14608143892799996
4E6,3.0,0.74569392,FAUC,1.014,52.8535,65.58,17.58,0.5,0.507,0.37806681744000004
4E6,3.0,0.596555136,FAUC,1.238,52.8535,65.61,17.61,0.5,0.619,0.36926762918399997
4E6,3.0,0.149138784,FAUC,0.634,52.8535,65.63,17.63,0.5,0.317,0.047276994528
4E6,3.0,0.298277568,FAUC,0.547,52.8535,65.65,17.65,0.5,0.2735,0.081578914848
4E6,3.0,0.4474163519999999,FAUC,1.286,52.8535,65.78999999999999,17.79,0.5,0.643,0.28768871433599996
4E6,3.0,0.298277568,FAUC,0.49,52.8535,65.82,17.82,0.5,0.245,0.07307800416
4E6,3.0,0.8948327039999998,FAUC,0.97,52.8535,65.83,17.83,0.5,0.485,0.4339938614399999
4E6,3.0,0.149138784,FAUC,0.5760000000000001,52.8535,65.94,17.94,0.5,0.28800000000000003,0.04295196979200001
4E6,3.0,1.043971488,FAUC,1.061,52.8535,66.11,18.11,0.5,0.5305,0.5538268743839999
4E6,3.0,0.596555136,FAUC,0.95,52.8535,66.53999999999999,18.54,0.5,0.475,0.28336368959999997
4E6,3.0,0.149138784,FAUC,0.28800000000000003,52.8535,66.55,18.55,0.5,0.14400000000000002,0.021475984896000003
4E6,3.0,0.149138784,FAUC,0.634,52.8535,67.16,19.16,0.5,0.317,0.047276994528
4E6,3.0,0.596555136,FAUC,1.037,52.8535,67.17,19.17,0.5,0.5185,0.309313838016
4E6,3.0,0.4474163519999999,FAUC,1.459,52.8535,67.23,19.23,0.5,0.7295,0.3263902287839999
4E6,3.0,0.596555136,FAUC,1.6269999999999998,52.8535,67.4,19.4,0.5,0.8134999999999999,0.4852976031359999
4E6,3.0,0.149138784,FAUC,0.403,52.8535,67.44,19.44,0.5,0.2015,0.030051464976
4E6,3.0,1.043971488,FAUC,1.267,52.8535,67.62,19.62,0.5,0.6335,0.6613559376479999
4E6,3.0,0.149138784,FAUC,0.461,52.8535,68.53,20.53,0.5,0.2305,0.034376489712000004
4E6,3.0,0.8948327039999998,FAUC,0.931,52.8535,68.65,20.65,0.5,0.4655,0.41654462371199996
4E6,3.0,0.74569392,FAUC,0.8640000000000001,52.8535,68.72,20.72,0.5,0.43200000000000005,0.32213977344000005
4E6,3.0,1.342249056,FAUC,1.747,52.8535,68.74,20.74,0.5,0.8735,1.172454550416
4E6,3.0,1.342249056,FAUC,1.472,52.8535,68.77,20.77,0.5,0.736,0.987895305216
1E6,4.0,0.32446224,FAUC,0.202,52.7565,78.57,6.57,0.5,0.101,0.032770686240000006
1E6,4.0,0.6477860159999999,FAUC,0.086,52.7565,80.42,8.42,0.5,0.043,0.02785479868799999
1E6,4.0,1.135048608,FAUC,1.374,52.7565,83.56,11.56,0.5,0.687,0.779778393696
1E6,4.0,0.16166188799999998,FAUC,0.518,52.7565,83.62,11.62,0.5,0.259,0.041870428992
1E6,4.0,0.486124128,FAUC,1.171,52.7565,84.03999999999998,12.04,0.5,0.5855,0.284625676944
1E6,4.0,0.6477860159999999,FAUC,0.893,52.7565,84.56,12.56,0.5,0.4465,0.28923645614399995
1E6,4.0,0.16166188799999998,FAUC,0.403,52.7565,84.61,12.61,0.5,0.2015,0.032574870432
1E6,4.0,0.16166188799999998,FAUC,0.691,52.7565,84.64,12.64,0.5,0.3455,0.05585418230399999
1E6,4.0,0.486124128,FAUC,1.056,52.7565,84.71000000000002,12.71,0.5,0.528,0.256673539584
1E6,4.0,0.32446224,FAUC,0.403,52.7565,85.28999999999998,13.29,0.5,0.2015,0.06537914136
1E6,4.0,0.16166188799999998,FAUC,0.518,52.7565,86.41,14.41,0.5,0.259,0.041870428992
1E6,4.0,2.268958752,FAUC,0.889,52.7565,86.42,14.42,0.5,0.4445,1.0085521652640002
1E6,4.0,0.6477860159999999,FAUC,0.8059999999999999,52.7565,86.47,14.47,0.5,0.40299999999999997,0.26105776444799994
1E6,4.0,2.1072968640000003,FAUC,0.913,52.7565,86.49,14.49,0.5,0.4565,0.9619810184160001
1E6,4.0,0.16166188799999998,FAUC,0.403,52.7565,86.53999999999998,14.54,0.5,0.2015,0.032574870432
1E6,4.0,0.32446224,FAUC,0.835,52.7565,86.58,14.58,0.5,0.4175,0.1354629852
1E6,4.0,0.972248256,FAUC,0.835,52.7565,86.6,14.6,0.5,0.4175,0.40591364688
1E6,4.0,0.16166188799999998,FAUC,0.8059999999999999,52.7565,86.62,14.62,0.5,0.40299999999999997,0.06514974086399998
1E6,4.0,2.1072968640000003,FAUC,0.895,52.7565,86.63,14.63,0.5,0.4475,0.9430153466400001
1E6,4.0,0.32446224,FAUC,0.518,52.7565,86.67,14.67,0.5,0.259,0.08403572016000001
1E6,4.0,0.16166188799999998,FAUC,0.8059999999999999,52.7565,86.69,14.69,0.5,0.40299999999999997,0.06514974086399998
1E6,4.0,0.6477860159999999,FAUC,0.965,52.7565,86.7,14.7,0.5,0.4825,0.31255675271999994
1E6,4.0,0.16166188799999998,FAUC,0.28800000000000003,52.7565,86.71000000000002,14.71,0.5,0.14400000000000002,0.023279311872
