Day,Day Of Year (Day),Start Time of Day (hr),Start Time of Year (hr),Fixture,Modified Mains Temperature (deg F),Duration (min),Fraction Hot Water,Modified Hot Water Flow Rate (gal/min),Modified Hot Water Volume (gal),Setpoint_WaterHeater,Default Mains Temperature (deg F),Default Hot Water Flow Rate (gal/min),Default Hot Water Volume (gal)
4.00E+01,65,16.58,1576.58,FAUC,55,0.5,0.5,0.908204901,0.45410245,125,40.3135,0.750702214,0.375351107
4.00E+01,65,16.86,1576.86,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,17.1,1577.1,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,17.58,1577.58,FAUC,55,0.167,0.5,0.326536568,0.054531607,125,40.3135,0.269907952,0.045074628
4.00E+01,65,17.72,1577.72,FAUC,55,0.167,0.5,0.399545972,0.066724177,125,40.3135,0.330255921,0.055152739
4.00E+01,65,17.81,1577.81,FAUC,55,0.167,0.5,0.363442421,0.060694884,125,40.3135,0.300413519,0.050169058
4.00E+01,65,17.85,1577.85,FAUC,55,0.333,0.5,0.762988393,0.254075135,125,40.3135,0.63066944,0.210012923
4.00E+01,65,18.79,1578.79,CWSH,55,4.5,0.22,0.33394983,1.502774234,125,40.3135,0.276035591,1.242160162
4.00E+01,65,18.9,1578.9,FAUC,55,0.167,0.5,0.363442421,0.060694884,125,40.3135,0.300413519,0.050169058
4.00E+01,65,19.07,1579.07,CWSH,55,3.167,0.22,0.389725807,1.23426163,125,40.3135,0.322138788,1.02021354
4.00E+01,65,19.12,1579.12,FAUC,55,2.167,0.5,0.774220609,1.677736061,125,40.3135,0.639953743,1.38677976
4.00E+01,65,19.18,1579.18,FAUC,55,0.5,0.5,0.787057428,0.393528714,125,40.3135,0.650564375,0.325282187
4.00E+01,65,19.2,1579.2,FAUC,55,1.833,0.5,0.848834616,1.55591385,125,40.3135,0.701628041,1.286084199
4.00E+01,65,19.2,1579.2,CWSH,55,0.5,0.22,0.165562865,0.082781432,125,40.3135,0.136850626,0.068425313
4.00E+01,65,19.21,1579.21,CWSH,55,0.333,0.22,0.281703979,0.093807425,125,40.3135,0.232850319,0.077539156
4.00E+01,65,19.27,1579.27,CWSH,55,4.333,0.22,0.317358243,1.375113267,125,40.3135,0.26232135,1.136638408
4.00E+01,65,19.27,1579.27,SHWR,55,26.667,0.76383485,1.652177757,44.05862425,125,40.3135,1.365653829,36.41789066
4.00E+01,65,19.43,1579.43,CWSH,55,2.333,0.22,0.075191664,0.175422152,125,40.3135,0.062151777,0.145000096
4.00E+01,65,19.74,1579.74,FAUC,55,0.333,0.5,0.235876538,0.078546887,125,40.3135,0.194970363,0.064925131
4.00E+01,65,19.79,1579.79,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,19.82,1579.82,FAUC,55,0.667,0.5,0.544762481,0.363356575,125,40.3135,0.450288696,0.30034256
4.00E+01,65,19.94,1579.94,CWSH,55,4.5,0.22,0.370310119,1.666395535,125,40.3135,0.306090207,1.37740593
4.00E+01,65,20.19,1580.19,CWSH,55,2,0.22,0.372781206,0.745562411,125,40.3135,0.308132753,0.616265507
4.00E+01,65,20.3,1580.3,CWSH,55,0.5,0.22,0.244637666,0.122318833,125,40.3135,0.202212119,0.10110606
4.00E+01,65,20.31,1580.31,CWSH,55,0.5,0.22,0.232988254,0.116494127,125,40.3135,0.192582971,0.096291485
4.00E+01,65,20.37,1580.37,CWSH,55,4.333,0.22,0.368898068,1.598435329,125,40.3135,0.304923037,1.32123152
4.00E+01,65,20.55,1580.55,CWSH,55,0.333,0.22,0.326183555,0.108619124,125,40.3135,0.269616159,0.089782181
4.00E+01,65,20.56,1580.56,CWSH,55,0.333,0.22,0.320535355,0.106738273,125,40.3135,0.264947481,0.088227511
4.00E+01,65,21.15,1581.15,FAUC,55,0.833,0.5,0.704420409,0.586782201,125,40.3135,0.582258431,0.485021273
4.00E+01,65,21.65,1581.65,FAUC,55,0.167,0.5,0.617771885,0.103167905,125,40.3135,0.510636665,0.085276323
4.00E+01,65,21.75,1581.75,FAUC,55,0.167,0.5,0.218225913,0.036443727,125,40.3135,0.180380744,0.030123584
4.00E+01,65,22.43,1582.43,FAUC,55,0.333,0.5,0.762988393,0.254075135,125,40.3135,0.63066944,0.210012923
