Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),Energy Added Heat Pump (Btu/min)
60.0,0.0,68.0,40.0,113.83704274728666,-61.888468741055476,-0.0,0.0,0.0,0.0,1.7495073931317835,-61.888468741055476,5.0,5,0.4166666666666667,0.0,0.0,0.0
65.0,0.0,68.0,40.0,113.72234158769086,-61.73360100298293,-0.0,0.0,0.0,0.0,1.7497941460307729,-61.73360100298293,5.0,5,0.4166666666666667,0.0,0.0,0.0
70.0,0.0,68.0,40.0,113.60792745263295,-61.5791208010182,-0.0,0.0,0.0,0.0,1.7500801813684177,-61.5791208010182,5.0,5,0.4166666666666667,0.0,0.0,0.0
75.0,0.0,68.0,40.0,113.49379962387184,-61.42502716540327,-0.0,0.0,0.0,0.0,1.7503655009403203,-61.42502716540327,5.0,5,0.4166666666666667,0.0,0.0,0.0
80.0,0.0,68.0,40.0,113.37995738496375,-61.271319128806766,-0.0,0.0,0.0,0.0,1.7506501065375906,-61.271319128806766,5.0,5,0.4166666666666667,0.0,0.0,0.0
85.0,0.0,68.0,40.0,113.2664000212577,-61.11799572631797,-0.0,0.0,0.0,0.0,1.7509339999468558,-61.11799572631797,5.0,5,0.4166666666666667,0.0,0.0,0.0
90.0,0.0,68.0,40.0,113.15312681989103,-60.96505599544069,-0.0,0.0,0.0,0.0,1.7512171829502725,-60.96505599544069,5.0,5,0.4166666666666667,0.0,0.0,0.0
95.0,0.0,68.0,40.0,113.04013706978495,-60.812498976087305,-0.0,0.0,0.0,0.0,1.7514996573255377,-60.812498976087305,5.0,5,0.4166666666666667,0.0,0.0,0.0
100.0,0.0,68.0,40.0,112.92743006164001,-60.66032371057262,-0.0,0.0,0.0,0.0,1.7517814248459,-60.66032371057262,5.0,5,0.4166666666666667,0.0,0.0,0.0
105.0,0.0,68.0,40.0,112.81500508793172,-60.508529243607995,-0.0,0.0,0.0,0.0,1.7520624872801707,-60.508529243607995,5.0,5,0.4166666666666667,0.0,0.0,0.0
110.0,0.0,68.0,40.0,112.70286144290607,-60.357114622295214,-0.0,0.0,0.0,0.0,1.7523428463927349,-60.357114622295214,5.0,5,0.4166666666666667,0.0,0.0,0.0
115.0,0.0,68.0,40.0,112.59099842257508,-60.20607889612059,-0.0,0.0,0.0,0.0,1.7526225039435623,-60.20607889612059,5.0,5,0.4166666666666667,0.0,0.0,0.0
120.0,0.0,68.0,40.0,112.47941532471246,-60.055421116948956,-0.0,0.0,0.0,0.0,1.7529014616882188,-60.055421116948956,5.0,5,0.4166666666666667,0.0,0.0,0.0
125.0,0.0,68.0,40.0,112.36811144884909,-59.90514033901774,-0.0,0.0,0.0,0.0,1.7531797213778773,-59.90514033901774,5.0,5,0.4166666666666667,0.0,0.0,0.0
130.0,0.0,68.0,40.0,112.25708609626872,-59.755235618931025,-0.0,0.0,0.0,0.0,1.7534572847593282,-59.755235618931025,5.0,5,0.4166666666666667,0.0,0.0,0.0
135.0,0.0,68.0,40.0,112.14633857000355,-59.60570601565361,-0.0,0.0,0.0,0.0,1.753734153574991,-59.60570601565361,5.0,5,0.4166666666666667,0.0,0.0,0.0
140.0,0.0,68.0,40.0,112.03586817482982,-59.45655059050512,-0.0,0.0,0.0,0.0,1.7540103295629255,-59.45655059050512,5.0,5,0.4166666666666667,0.0,0.0,0.0
145.0,0.0,68.0,40.0,111.92567421726348,-59.30776840715404,-0.0,0.0,0.0,0.0,1.7542858144568414,-59.30776840715404,5.0,5,0.4166666666666667,0.0,0.0,0.0
150.0,0.0,68.0,40.0,111.81575600555585,-59.15935853161201,-0.0,0.0,0.0,0.0,1.7545606099861104,-59.15935853161201,5.0,5,0.4166666666666667,0.0,0.0,0.0
155.0,0.0,68.0,40.0,111.70611284968928,-59.01132003222777,-0.0,0.0,0.0,0.0,1.7548347178757768,-59.01132003222777,5.0,5,0.4166666666666667,0.0,0.0,0.0
160.0,0.0,68.0,40.0,111.59674406137273,-58.86365197968143,-0.0,0.0,0.0,0.0,1.7551081398465682,-58.86365197968143,5.0,5,0.4166666666666667,0.0,0.0,0.0
165.0,0.0,68.0,40.0,111.48764895403758,-58.71635344697856,-0.0,0.0,0.0,0.0,1.755380877614906,-58.71635344697856,5.0,5,0.4166666666666667,0.0,0.0,0.0
170.0,0.0,68.0,40.0,111.37882684283325,-58.569423509444505,-0.0,0.0,0.0,0.0,1.755652932892917,-58.569423509444505,5.0,5,0.4166666666666667,0.0,0.0,0.0
175.0,0.0,68.0,40.0,111.27027704462287,-58.42286124471836,-0.0,0.0,0.0,0.0,1.755924307388443,-58.42286124471836,5.0,5,0.4166666666666667,0.0,0.0,0.0
180.0,0.0,68.0,40.0,111.16199887797907,-58.27666573274743,-0.0,0.0,0.0,0.0,1.7561950028050524,-58.27666573274743,5.0,5,0.4166666666666667,0.0,0.0,0.0
185.0,0.0,68.0,40.0,111.05399166317964,-58.13083605578122,-0.0,0.0,0.0,0.0,1.756465020842051,-58.13083605578122,5.0,5,0.4166666666666667,0.0,0.0,0.0
190.0,0.0,68.0,40.0,110.94625472220329,-57.985371298365855,-0.0,0.0,0.0,0.0,1.7567343631944918,-57.985371298365855,5.0,5,0.4166666666666667,0.0,0.0,0.0
195.0,0.0,68.0,40.0,110.8387873787254,-57.84027054733824,-0.0,0.0,0.0,0.0,1.7570030315531864,-57.84027054733824,5.0,5,0.4166666666666667,0.0,0.0,0.0
200.0,0.0,68.0,40.0,110.73158895811375,-57.69553289182037,-0.0,0.0,0.0,0.0,1.7572710276047157,-57.69553289182037,5.0,5,0.4166666666666667,0.0,0.0,0.0
205.0,0.0,68.0,40.0,110.6246587874243,-57.55115742321357,-0.0,0.0,0.0,0.0,1.7575383530314392,-57.55115742321357,5.0,5,0.4166666666666667,0.0,0.0,0.0
210.0,0.0,68.0,40.0,110.51799619539698,-57.40714323519282,-0.0,0.0,0.0,0.0,1.7578050095115076,-57.40714323519282,5.0,5,0.4166666666666667,0.0,0.0,0.0
215.0,0.0,68.0,40.0,110.41160051245143,-57.263489423701046,-0.0,0.0,0.0,0.0,1.7580709987188714,-57.263489423701046,5.0,5,0.4166666666666667,0.0,0.0,0.0
220.0,0.0,68.0,40.0,110.30547107068286,-57.1201950869435,-0.0,0.0,0.0,0.0,1.7583363223232928,-57.1201950869435,5.0,5,0.4166666666666667,0.0,0.0,0.0
225.0,0.0,68.0,40.0,110.19960720385778,-56.97725932538199,-0.0,0.0,0.0,0.0,1.7586009819903556,-56.97725932538199,5.0,5,0.4166666666666667,0.0,0.0,0.0
230.0,0.0,68.0,40.0,110.09400824740992,-56.83468124172937,-0.0,0.0,0.0,0.0,1.7588649793814752,-56.83468124172937,5.0,5,0.4166666666666667,0.0,0.0,0.0
235.0,0.0,68.0,40.0,109.98867353843595,-56.69245994094377,-0.0,0.0,0.0,0.0,1.7591283161539102,-56.69245994094377,5.0,5,0.4166666666666667,0.0,0.0,0.0
240.0,0.0,68.0,40.0,109.88360241569139,-56.55059453022311,-0.0,0.0,0.0,0.0,1.7593909939607715,-56.55059453022311,5.0,5,0.4166666666666667,0.0,0.0,0.0
245.0,0.0,68.0,40.0,109.77879421958642,-56.40908411899938,-0.0,0.0,0.0,0.0,1.7596530144510338,-56.40908411899938,5.0,5,0.4166666666666667,0.0,0.0,0.0
250.0,0.0,68.0,40.0,109.67424829218179,-56.26792781893311,-0.0,0.0,0.0,0.0,1.7599143792695455,-56.26792781893311,5.0,5,0.4166666666666667,0.0,0.0,0.0
255.0,0.0,68.0,40.0,109.56996397718463,-56.12712474390781,-0.0,0.0,0.0,0.0,1.7601750900570385,-56.12712474390781,5.0,5,0.4166666666666667,0.0,0.0,0.0
260.0,0.0,68.0,40.0,109.46594061994435,-55.98667401002433,-0.0,0.0,0.0,0.0,1.760435148450139,-55.98667401002433,5.0,5,0.4166666666666667,0.0,0.0,0.0
265.0,0.0,68.0,40.0,109.36217756744857,-55.84657473559543,-0.0,0.0,0.0,0.0,1.7606945560813787,-55.84657473559543,5.0,5,0.4166666666666667,0.0,0.0,0.0
270.0,0.0,68.0,40.0,109.25867416831895,-55.7068260411401,-0.0,0.0,0.0,0.0,1.7609533145792027,-55.7068260411401,5.0,5,0.4166666666666667,0.0,0.0,0.0
