,800,1200,2100,2700,3500
1,59.20696145247203,62.751995817035905,76.06610317531455,86.35055354775533,94.35365223265511
2,52.225887066754105,56.49031423803046,64.66529124017173,72.76296934187319,77.25801638094099
3,51.82587942651498,55.678115884191996,65.22392655365614,73.7942459728498,77.03534617885362
4,49.96163427122249,54.30157249439495,61.24930001072074,67.68964979337211,72.34377825795292
5,52.43696084552227,58.03917489584105,65.89094211146157,74.17989763085887,80.89879631868799
6,44.097121568388054,47.49135799786594,53.83597526653578,59.19915900135632,62.169411044217476
7,43.92935887477775,47.560183347528685,52.00302943306406,56.85015576753017,60.807266423514974
8,43.63204722813524,46.710194429339985,51.13098245999104,55.78763820147327,58.87596591834025
9,43.52812858380543,46.729476058696044,50.37595389118676,55.482345422052326,59.51171219335785
10,43.57172550855793,46.83232735030139,51.24751803712273,56.26372303500937,59.75362520616453
11,48.823988154152985,52.76824684901704,59.6405895845407,65.40310014820092,68.1440637463681
12,50.19225609772986,53.883275738776,61.672216025539555,65.6600715859601,70.5632403671377
13,48.54023081103864,51.89754252113816,57.57479515333034,61.88781882356967,67.24321411173409
14,45.75438322579346,50.03283690292443,54.82493157210785,59.87416501596252,65.60193822517351
15,40.2450749695125,42.23314665482463,44.31433565645319,45.940098925554416,49.20634932236335
16,52.57397004629642,58.86309178908154,69.00095755277385,80.08808990354993,87.98058381363501
