Hour of Year (hr),Timestep (min),Time (min),Inlet Water Temperature (deg F),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Electricity CO2 Multiplier (lb/kWh),CO2 Production (lb),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),CO2 Production Gas (lb),CO2 Production Elec (lb),Energy Added Heat Pump (Btu/min)
10.0,60.0,600.0,40.0,11.82788702083293,68.0,82.83801610866306,-74.20022476735485,-4205.95953022364,4265.1775,18270.109527138593,22535.28702713859,1.8270049597283424,18255.127272147598,0.42423,1.7452719228771545,110,1359.6857603281571,10000.032802239999,105505919.99999999,1.1684524327731403,0.5768194901040141,304.5018254523099
11.0,60.0,660.0,40.0,0.35998813135712227,68.0,116.67120521930642,-243.38930086900874,-229.1126375135261,0.0,0.0,0.0,1.742421986951734,-472.50193838253483,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
12.0,60.0,720.0,40.0,1.7091077470549194,68.0,115.79549248402286,-239.0101384989303,-1075.3290889508219,0.0,0.0,0.0,1.7446112687899429,-1314.3392274497521,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
13.0,60.0,780.0,40.0,0.6585211814456092,68.0,113.35955835029097,-226.8288024687146,-401.0098395443066,0.0,0.0,0.0,1.7507011041242726,-627.8386420130212,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
14.0,60.0,840.0,40.0,27.145619223543324,68.0,112.19595191854589,-221.0099747936445,-16268.262526901126,0.0,0.0,0.0,1.7536101202036352,-16489.27250169477,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
15.0,60.0,900.0,40.0,0.9805274867038566,68.0,81.63551448473231,-68.18689454009647,-338.8849486498927,4265.1775,18300.172166348726,22565.349666348724,1.8300112137881692,22158.277823158736,0.42423,1.7452719228771545,110,1359.6857603281571,10000.032802239997,105505919.99999999,1.1684524327731403,0.5768194901040141,305.00286943914546
16.0,60.0,960.0,40.0,1.2474956879705683,68.0,122.7026181417373,-273.550488943728,-856.4201635149592,0.0,0.0,0.0,1.7273434546456568,-1129.9706524586873,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
17.0,60.0,1020.0,40.0,1.9014977906973167,68.0,120.60838400114923,-263.0778864873674,-1272.3441932714034,0.0,0.0,0.0,1.7325790399971268,-1535.4220797587707,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
18.0,60.0,1080.0,40.0,0.8505056912080406,68.0,117.76270536989725,-248.84754784180697,-549.0060844700372,0.0,0.0,0.0,1.7396932365752569,-797.8536323118442,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
19.0,60.0,1140.0,40.0,2.799770601978455,68.0,116.28400119971018,-241.45301605340657,-1772.901002638754,0.0,0.0,0.0,1.7433899970007245,-2014.3540186921607,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
20.0,60.0,1200.0,40.0,17.043483060199094,68.0,112.5506927744012,-222.7839215966312,-10264.27996856398,0.0,0.0,0.0,1.752723268063997,-10487.06389016061,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
21.0,60.0,1260.0,40.0,0.0,68.0,93.1144647754571,-125.58949374389368,-0.0,4265.1775,18013.197467742404,22278.374967742406,1.8013138380613574,22152.785473998512,0.42423,1.7452719228771545,110,1359.6857603281571,10000.032802239999,105505919.99999999,1.1684524327731403,0.5768194901040141,300.21995779570676
22.0,60.0,1320.0,40.0,0.011041303965278443,68.0,134.17138917240933,-330.9021848880633,-8.631135116141406,0.0,0.0,0.0,1.6986715270689767,-339.5333200042047,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
23.0,60.0,1380.0,40.0,0.40367319510435695,68.0,133.5421141827688,-327.7553797269245,-313.4481173809678,0.0,0.0,0.0,1.700244714543078,-641.2034971078923,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
24.0,60.0,1440.0,40.0,0.0,68.0,132.35373796097406,-321.8126861673813,-0.0,0.0,0.0,0.0,1.7032156550975648,-321.8126861673813,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
25.0,60.0,1500.0,40.0,0.0,68.0,131.75730555560173,-318.8301163808906,-0.0,0.0,0.0,0.0,1.7047067361109955,-318.8301163808906,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
26.0,60.0,1560.0,40.0,0.0,68.0,131.1664009039458,-315.8751891421105,-0.0,0.0,0.0,0.0,1.7061839977401356,-315.8751891421105,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
27.0,60.0,1620.0,40.0,0.0,68.0,130.5809727746163,-312.9476482590662,-0.0,0.0,0.0,0.0,1.7076475680634593,-312.9476482590662,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
28.0,60.0,1680.0,40.0,0.0,68.0,130.00097041103734,-310.04723991417774,-0.0,0.0,0.0,0.0,1.7090975739724066,-310.04723991417774,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
29.0,60.0,1740.0,40.0,44.25510506965086,68.0,129.42634352704655,-307.17371264225443,-32851.66776459467,0.0,0.0,0.0,1.7105341411823836,-33158.84147723692,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
30.0,60.0,1800.0,40.0,6.9938287061065685,68.0,67.9713157058562,0.14344108115102522,-1623.8894436035864,4265.1775,18641.77825636145,22906.95575636145,1.8641717107353595,21283.209753839015,0.42423,1.7452719228771545,110,1359.6857603281571,10000.032802239999,105505919.99999999,1.1684524327731403,0.5768194901040141,310.69630427269084
31.0,60.0,1860.0,40.0,11.454630775120707,68.0,107.41660960866952,-197.10999577785756,-6410.273730567156,0.0,17655.642674056126,17655.642674056126,1.7655584759783263,11048.25894771111,0.42423,1.2151177327731402,110,110.0,10000.032802239999,105505919.99999999,1.1684524327731403,0.0466653,294.26071123426874
32.0,60.0,1920.0,40.0,4.97421177783976,68.0,127.89292997328195,-299.5055965331061,-3629.16560261033,0.0,0.0,0.0,1.714367675066795,-3928.6711991434363,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
33.0,60.0,1980.0,40.0,0.0,68.0,120.6117166652292,-263.09455208619113,-0.0,0.0,0.0,0.0,1.732570708336927,-263.09455208619113,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
34.0,60.0,2040.0,40.0,1.0164616052582474,68.0,120.1241096712044,-260.65618375650246,-676.0561497158066,0.0,0.0,0.0,1.733789725821989,-936.712333472309,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
35.0,60.0,2100.0,40.0,2.958232249926901,68.0,118.38805135464617,-251.97470529236682,-1924.9112381991558,0.0,0.0,0.0,1.7381298716133846,-2176.8859434915225,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
36.0,60.0,2160.0,40.0,2.8887943535058183,68.0,114.35351395041664,-231.79926000144613,-1782.9809248176882,0.0,0.0,0.0,1.7482162151239584,-2014.7801848191343,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
37.0,60.0,2220.0,40.0,0.0,68.0,110.61941568897278,-213.12621582401343,-0.0,0.0,0.0,0.0,1.757551460777568,-213.12621582401343,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
38.0,60.0,2280.0,40.0,0.8557222882004423,68.0,110.22441764503083,-211.15095555818542,-498.8265519842766,0.0,0.0,0.0,1.758538955887423,-709.977507542462,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
39.0,60.0,2340.0,40.0,0.8014275039559486,68.0,108.90857892646781,-204.5708623732238,-458.4226937068816,0.0,0.0,0.0,1.7618285526838304,-662.9935560801055,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
40.0,60.0,2400.0,40.0,1.0442793210291428,68.0,107.67981804041143,-198.4262178828134,-586.6842545910181,0.0,0.0,0.0,1.7649004548989713,-785.1104724738315,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
41.0,60.0,2460.0,40.0,0.6525479059430604,68.0,106.22473143970166,-191.14979008829204,-358.7246151762536,0.0,0.0,0.0,1.768538171400746,-549.8744052645457,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
42.0,60.0,2520.0,40.0,1.1211714072626715,68.0,105.20562023532224,-186.0535373362996,-606.8559524275444,0.0,0.0,0.0,1.7710859494116944,-792.909489763844,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
43.0,60.0,2580.0,40.0,1.2385930265586222,68.0,103.73607930499227,-178.704828011766,-655.3035902165482,0.0,0.0,0.0,1.7747598017375195,-834.0084182283142,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
44.0,60.0,2640.0,40.0,0.0,68.0,102.19036756531906,-170.9752125652422,-0.0,0.0,0.0,0.0,1.7786240810867024,-170.9752125652422,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
45.0,60.0,2700.0,40.0,0.3099233040300086,68.0,101.87349019636322,-169.39060908267257,-159.17960410228773,0.0,0.0,0.0,1.779416274509092,-328.57021318496027,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
46.0,60.0,2760.0,40.0,0.0,68.0,101.26453371016156,-166.34541032976642,-0.0,0.0,0.0,0.0,1.7809386657245962,-166.34541032976642,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
47.0,60.0,2820.0,40.0,0.0,68.0,100.95623699760117,-164.80371599546376,-0.0,0.0,0.0,0.0,1.7817094075059972,-164.80371599546376,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
48.0,60.0,2880.0,40.0,0.0,68.0,100.65079758837182,-163.27631013125298,-0.0,0.0,0.0,0.0,1.7824730060290706,-163.27631013125298,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
49.0,60.0,2940.0,40.0,0.0,68.0,100.34818900089913,-161.76306031115772,-0.0,0.0,0.0,0.0,1.783229527497752,-161.76306031115772,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
50.0,60.0,3000.0,40.0,0.0,68.0,100.04838499904075,-160.26383533652944,-0.0,0.0,0.0,0.0,1.783979037502398,-160.26383533652944,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
51.0,60.0,3060.0,40.0,0.0,68.0,99.75135958981171,-158.77850522467287,-0.0,0.0,17847.274553120995,17847.274553120995,1.7847216010254707,17688.496047896322,0.42423,1.2151177327731402,110,110.0,10000.032802239999,105505919.99999999,1.1684524327731403,0.0466653,297.4545758853499
52.0,60.0,3120.0,40.0,0.0,68.0,132.53438120064592,-322.7160258651007,-0.0,0.0,0.0,0.0,1.7027640469983851,-322.7160258651007,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
53.0,60.0,3180.0,40.0,1.5700716490554967,68.0,131.93627458822104,-319.72508389875134,-1198.2155330213059,0.0,0.0,0.0,1.7042593135294475,-1517.9406169200572,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
54.0,60.0,3240.0,40.0,0.9009445639020871,68.0,129.12299527302616,-305.6567639837369,-666.5249568106065,0.0,0.0,0.0,1.7112925118174345,-972.1817207943434,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
55.0,60.0,3300.0,40.0,0.4504479499182456,68.0,127.32119967230581,-296.64655415654676,-326.5072887380806,0.0,0.0,0.0,1.7157970008192356,-623.1538428946274,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
56.0,60.0,3360.0,40.0,12.532870934554195,68.0,126.1662758255767,-290.8711453425312,-8964.301652768332,0.0,0.0,0.0,1.7186843104360583,-9255.172798110863,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
57.0,60.0,3420.0,40.0,2.4798139126594205,68.0,109.01317648740216,-205.09392168752896,-1420.6257479583342,0.0,0.0,0.0,1.7615670587814947,-1625.7196696458632,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
58.0,60.0,3480.0,40.0,10.458901970201017,68.0,106.00014457565311,-190.02670222599565,-5730.065040595411,0.0,0.0,0.0,1.7690996385608673,-5920.091742821407,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
59.0,60.0,3540.0,40.0,0.444997574571511,68.0,95.02812665974233,-135.15911146790882,-203.2689034704525,0.0,17965.35576370428,17965.35576370428,1.7965296833506441,17626.927748765916,0.42423,1.2151177327731402,110,110.0,10000.032802239999,105505919.99999999,1.1684524327731403,0.0466653,299.422596061738
60.0,60.0,3600.0,40.0,5.147770736491295,68.0,127.6970404981877,-298.52601523496566,-3747.4229010745853,0.0,0.0,0.0,1.7148573987545308,-4045.948916309551,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
61.0,60.0,3660.0,40.0,0.0,68.0,120.19847021835423,-261.0280373299138,-0.0,0.0,0.0,0.0,1.7336038244541143,-261.0280373299138,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
62.0,60.0,3720.0,40.0,0.18651886725786282,68.0,119.71469320499769,-258.60882152198803,-123.4211874576768,0.0,0.0,0.0,1.7348132669875058,-382.03000897966484,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
63.0,60.0,3780.0,40.0,0.6642635411859189,68.0,119.00665686282053,-255.06815575182972,-435.6449397211094,0.0,0.0,0.0,1.7365833578429486,-690.7130954729391,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
64.0,60.0,3840.0,40.0,0.2587668749177647,68.0,117.72652189405542,-248.66660572524194,-166.95771317047908,0.0,0.0,0.0,1.7397836952648613,-415.624318895721,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
65.0,60.0,3900.0,40.0,0.6466175693219196,68.0,116.95622344745757,-244.81458686659315,-413.06635269353853,0.0,0.0,0.0,1.741709441381356,-657.8809395601317,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
66.0,60.0,3960.0,40.0,15.617344450018273,68.0,115.73693804294628,-238.71732626195796,-9818.462921695316,0.0,0.0,0.0,1.7447576548926342,-10057.180247957274,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
67.0,60.0,4020.0,40.0,9.187308027786859,68.0,97.09743604571176,-145.50707311100774,-4354.451486962723,0.0,17913.622859360086,17913.622859360086,1.7913564098857206,13413.664299286356,0.42423,1.2151177327731402,110,110.0,10000.032802239999,105505919.99999999,1.1684524327731403,0.0466653,298.56038098933476
68.0,60.0,4080.0,40.0,1.317249423719342,68.0,121.95768676534702,-269.825322778681,-896.1614985553666,0.0,0.0,0.0,1.7292057830866325,-1165.9868213340476,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
69.0,60.0,4140.0,40.0,0.26882888612772915,68.0,119.79670196153788,-259.01892137115993,-178.06946215151444,0.0,0.0,0.0,1.7346082450961553,-437.08838352267435,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
70.0,60.0,4200.0,40.0,0.0011258860964412807,68.0,118.98662303317288,-254.9679729071744,-0.7382043072333191,0.0,0.0,0.0,1.7366334424170677,-255.70617721440775,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
71.0,60.0,4260.0,40.0,0.0,68.0,118.51270930354063,-252.59808026104653,-0.0,0.0,0.0,0.0,1.7378182267411484,-252.59808026104653,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
72.0,60.0,4320.0,40.0,1.6712556917976336,68.0,118.04455597373632,-250.25699355223884,-1082.7148307824943,0.0,0.0,0.0,1.7389886100656593,-1332.9718243347331,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
73.0,60.0,4380.0,40.0,0.0,68.0,115.57408906657405,-237.90297004604184,-0.0,0.0,0.0,0.0,1.745164777333565,-237.90297004604184,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
74.0,60.0,4440.0,40.0,0.0,68.0,115.13317095871554,-235.69807806671605,-0.0,0.0,0.0,0.0,1.7462670726032112,-235.69807806671605,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
75.0,60.0,4500.0,40.0,0.0,68.0,114.69633929332292,-233.51362109347514,-0.0,0.0,0.0,0.0,1.7473591517666927,-233.51362109347514,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
76.0,60.0,4560.0,40.0,0.0,68.0,114.26355619712284,-231.34940973405966,-0.0,0.0,0.0,0.0,1.7484411095071928,-231.34940973405966,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
77.0,60.0,4620.0,40.0,0.0,68.0,113.83478414785257,-229.20525635150352,-0.0,0.0,0.0,0.0,1.7495130396303686,-229.20525635150352,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
78.0,60.0,4680.0,40.0,0.06573666026344138,68.0,113.4099859710069,-227.0809750478656,-40.05819251578315,0.0,0.0,0.0,1.7505750350724827,-267.13916756364875,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
79.0,60.0,4740.0,40.0,0.0,68.0,112.91488287803475,-224.6051210986238,-0.0,0.0,0.0,0.0,1.7518127928049132,-224.6051210986238,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
80.0,60.0,4800.0,40.0,0.05002436935885351,68.0,112.49861037420274,-222.52347398875372,-30.105086323430328,0.0,0.0,0.0,1.7528534740644932,-252.62856031218405,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
81.0,60.0,4860.0,40.0,16.109659717704147,68.0,112.03040055411387,-220.1821047899028,-9632.317050412363,0.0,0.0,0.0,1.7540239986147155,-9852.499155202266,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
82.0,60.0,4920.0,40.0,0.8292872044108875,68.0,93.77024480932202,-128.86884224671087,-370.1481221604604,4265.1775,17996.802913118143,22261.980413118144,1.799674387976695,21762.963448710972,0.42423,1.7452719228771545,110,1359.6857603281571,10000.032802239999,105505919.99999999,1.1684524327731403,0.5768194901040141,299.9467152186357
83.0,60.0,4980.0,40.0,5.515212103463498,68.0,134.10469150976593,-330.5686509760258,-4308.261607216551,0.0,0.0,0.0,1.6988382712255852,-4638.830258192577,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
84.0,60.0,5040.0,40.0,2.1652417590689623,68.0,125.50730300417814,-287.5758307192505,-1536.8736872260408,0.0,0.0,0.0,1.7203317424895546,-1824.4495179452913,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
85.0,60.0,5100.0,40.0,3.8414630939521004,68.0,122.1259545948661,-270.6667769650086,-2618.8201149366814,0.0,0.0,0.0,1.7287851135128347,-2889.48689190169,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
86.0,60.0,5160.0,40.0,1.4675727223449069,68.0,116.77071631090239,-243.88692435918375,-935.2415565463957,0.0,0.0,0.0,1.742173209222744,-1179.1284809055794,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
87.0,60.0,5220.0,40.0,0.8505495842868133,68.0,114.58537537706562,-232.95872565010447,-526.6012536956724,0.0,0.0,0.0,1.747636561557336,-759.5599793457769,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
88.0,60.0,5280.0,40.0,10.227443269661439,68.0,113.17764285134992,-225.91910060485083,-6212.609660018888,0.0,0.0,0.0,1.7511558928716253,-6438.528760623738,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
89.0,60.0,5340.0,40.0,0.5678991493324997,68.0,101.24477829746328,-166.2466197602018,-288.71467378966395,0.0,0.0,0.0,1.7809880542563419,-454.9612935498658,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
90.0,60.0,5400.0,40.0,0.6126882194306048,68.0,100.40157456334411,-162.03002462119352,-307.19656998621025,0.0,0.0,0.0,1.7830960635916397,-469.22659460740374,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
91.0,60.0,5460.0,40.0,0.8318053312561315,68.0,99.53193219523435,-157.68121823707824,-411.05529812432206,0.0,17852.760255979705,17852.760255979705,1.7852701695119142,17284.023739618304,0.42423,1.2151177327731402,110,110.0,10000.032802239999,105505919.99999999,1.1684524327731403,0.0466653,297.5460042663284
92.0,60.0,5520.0,40.0,0.0,68.0,131.5653239682713,-317.87007719325317,-0.0,0.0,0.0,0.0,1.7051866900793218,-317.87007719325317,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
93.0,60.0,5580.0,40.0,9.975010356850051,68.0,130.97619860781967,-314.92404762693275,-7533.0302886480595,0.0,0.0,0.0,1.7066595034804508,-7847.954336274992,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
94.0,60.0,5640.0,40.0,14.402044335327496,68.0,116.43117138163323,-242.18896757804256,-9137.412504552814,0.0,0.0,0.0,1.743022071545917,-9379.601472130857,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
