,800,1200,2100,2700,3500
1,69.39189428687706,76.09191626437787,83.76694144009707,89.60862726873893,96.20031555754878
2,65.8002158387392,71.75856871674053,78.84192528499385,84.12527594884398,90.15029571219361
3,66.04188329812666,71.88356912676853,78.95859233435334,84.35861004756295,90.45863005692932
4,64.51687829578505,70.12523002570799,76.90025224922559,82.00026897836798,87.75862120032454
5,66.82521920096879,72.82523888231279,80.0752626639368,85.60028078717438,91.64196727186106
6,63.0752069001288,68.55855822002374,74.96691257412584,79.96692897524585,85.50861381982054
7,62.54187181734266,67.9252228092152,74.3502438846544,79.35026028577438,84.76694472032105
8,61.791869357174654,67.000219775008,73.18357339105972,78.08358946415731,83.33360668533332
9,61.73353583249492,66.92521952899119,73.3002404404192,77.96692241479786,83.16693947196266
10,61.50853509444452,66.67521870893519,72.7752387183016,77.56692110270825,82.75860479920452
11,62.000203373887985,67.2752206770696,73.53357453913813,78.16692307084266,83.75027471876
12,63.558541818903734,69.04189313879866,75.59191462426585,80.56693094338027,86.20861611597732
13,61.46686829110187,66.65855198759812,72.8252388823128,77.35025372532638,82.61693766783947
14,62.266870915281054,67.6002217431424,73.9335758512277,78.72525823563439,84.1002758668384
15,54.125177542124,57.90852328563813,62.70020567004479,65.84188264208187,70.0502297796912
16,69.0502264994672,75.55024782092319,83.24193971797946,88.95862513659333,95.58364686807731
