Time (min),Hot Water Draw Volume (gal),Inlet Water Temperature (deg F),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min)
510,0.0,0.0,68,0,0,0,0,0,0,0,0,5
515,0.0,0.0,68,0,0,0,0,0,0,0,0,5
520,0.0,0.0,68,0,0,0,0,0,0,0,0,5
525,0.0,0.0,68,0,0,0,0,0,0,0,0,5
530,0.0,0.0,68,0,0,0,0,0,0,0,0,5
535,0.0,0.0,68,0,0,0,0,0,0,0,0,5
540,0.0,0.0,68,0,0,0,0,0,0,0,0,5
545,0.0,0.0,68,0,0,0,0,0,0,0,0,5
550,0.43399386143999996,48.9095,68,0,0,0,0,0,0,0,0,5
555,0.21043482422399998,48.9095,68,0,0,0,0,0,0,0,0,5
560,0.0,0.0,68,0,0,0,0,0,0,0,0,5
565,0.0,0.0,68,0,0,0,0,0,0,0,0,5
570,0.0,0.0,68,0,0,0,0,0,0,0,0,5
575,0.038626945056000006,48.9095,68,0,0,0,0,0,0,0,0,5
580,0.08157891484799999,48.9095,68,0,0,0,0,0,0,0,0,5
585,0.0,0.0,68,0,0,0,0,0,0,0,0,5
590,0.0,0.0,68,0,0,0,0,0,0,0,0,5
595,2.4049551075839997,48.9095,68,0,0,0,0,0,0,0,0,5
600,0.326464798176,48.9095,68,0,0,0,0,0,0,0,0,5
605,1.3228951679999998,48.9095,68,0,0,0,0,0,0,0,0,5
610,2.0487228912,48.9095,68,0,0,0,0,0,0,0,0,5
615,0.0,0.0,68,0,0,0,0,0,0,0,0,5
620,0.05585247460800002,48.9095,68,0,0,0,0,0,0,0,0,5
625,0.0,0.0,68,0,0,0,0,0,0,0,0,5
630,0.0,0.0,68,0,0,0,0,0,0,0,0,5
635,0.0,0.0,68,0,0,0,0,0,0,0,0,5
640,0.0,0.0,68,0,0,0,0,0,0,0,0,5
645,0.0,0.0,68,0,0,0,0,0,0,0,0,5
650,0.0,0.0,68,0,0,0,0,0,0,0,0,5
655,0.0,0.0,68,0,0,0,0,0,0,0,0,5
660,0.0,0.0,68,0,0,0,0,0,0,0,0,5
665,0.0,0.0,68,0,0,0,0,0,0,0,0,5
670,0.0,0.0,68,0,0,0,0,0,0,0,0,5
675,0.0,0.0,68,0,0,0,0,0,0,0,0,5
680,0.05585247460800002,48.9095,68,0,0,0,0,0,0,0,0,5
685,0.09022896432,48.9095,68,0,0,0,0,0,0,0,0,5
690,0.17605833451199998,48.9095,68,0,0,0,0,0,0,0,0,5
695,0.034376489712000004,48.9095,68,0,0,0,0,0,0,0,0,5
700,0.0,0.0,68,0,0,0,0,0,0,0,0,5
705,0.0,0.0,68,0,0,0,0,0,0,0,0,5
710,0.0,0.0,68,0,0,0,0,0,0,0,0,5
715,0.0,0.0,68,0,0,0,0,0,0,0,0,5
720,0.0,0.0,68,0,0,0,0,0,0,0,0,5
725,0.0,0.0,68,0,0,0,0,0,0,0,0,5
730,0.0,0.0,68,0,0,0,0,0,0,0,0,5
735,0.0,0.0,68,0,0,0,0,0,0,0,0,5
740,0.0,0.0,68,0,0,0,0,0,0,0,0,5
745,0.0,0.0,68,0,0,0,0,0,0,0,0,5
750,0.0,0.0,68,0,0,0,0,0,0,0,0,5
755,0.0,0.0,68,0,0,0,0,0,0,0,0,5
760,0.0,0.0,68,0,0,0,0,0,0,0,0,5
765,0.0,0.0,68,0,0,0,0,0,0,0,0,5
770,0.0,0.0,68,0,0,0,0,0,0,0,0,5
775,0.0,0.0,68,0,0,0,0,0,0,0,0,5
780,0.0,0.0,68,0,0,0,0,0,0,0,0,5
785,0.0,0.0,68,0,0,0,0,0,0,0,0,5
790,0.0,0.0,68,0,0,0,0,0,0,0,0,5
795,0.0,0.0,68,0,0,0,0,0,0,0,0,5
800,0.0,0.0,68,0,0,0,0,0,0,0,0,5
805,0.0,0.0,68,0,0,0,0,0,0,0,0,5
810,0.0,0.0,68,0,0,0,0,0,0,0,0,5
815,0.0,0.0,68,0,0,0,0,0,0,0,0,5
820,0.0,0.0,68,0,0,0,0,0,0,0,0,5
825,0.0,0.0,68,0,0,0,0,0,0,0,0,5
830,0.0,0.0,68,0,0,0,0,0,0,0,0,5
835,0.0,0.0,68,0,0,0,0,0,0,0,0,5
840,0.0,0.0,68,0,0,0,0,0,0,0,0,5
845,0.0,0.0,68,0,0,0,0,0,0,0,0,5
850,0.0,0.0,68,0,0,0,0,0,0,0,0,5
855,0.030051464975999996,48.9095,68,0,0,0,0,0,0,0,0,5
860,0.0,0.0,68,0,0,0,0,0,0,0,0,5
865,0.12453088464,48.9095,68,0,0,0,0,0,0,0,0,5
870,0.0,0.0,68,0,0,0,0,0,0,0,0,5
875,0.0,0.0,68,0,0,0,0,0,0,0,0,5
880,0.0,0.0,68,0,0,0,0,0,0,0,0,5
885,0.0,0.0,68,0,0,0,0,0,0,0,0,5
890,0.0,0.0,68,0,0,0,0,0,0,0,0,5
895,0.0,0.0,68,0,0,0,0,0,0,0,0,5
900,0.0,0.0,68,0,0,0,0,0,0,0,0,5
905,0.0,0.0,68,0,0,0,0,0,0,0,0,5
910,0.0,0.0,68,0,0,0,0,0,0,0,0,5
915,0.0,0.0,68,0,0,0,0,0,0,0,0,5
920,0.0,0.0,68,0,0,0,0,0,0,0,0,5
925,0.0,0.0,68,0,0,0,0,0,0,0,0,5
930,0.0,0.0,68,0,0,0,0,0,0,0,0,5
935,0.137431389456,48.9095,68,0,0,0,0,0,0,0,0,5
940,0.034376489712000004,48.9095,68,0,0,0,0,0,0,0,0,5
945,5.316063526315948,48.9095,68,0,0,0,0,0,0,0,0,5
950,0.0,0.0,68,0,0,0,0,0,0,0,0,5
955,0.0,0.0,68,0,0,0,0,0,0,0,0,5
960,0.0,0.0,68,0,0,0,0,0,0,0,0,5
965,0.0,0.0,68,0,0,0,0,0,0,0,0,5
970,0.0,0.0,68,0,0,0,0,0,0,0,0,5
975,0.0,0.0,68,0,0,0,0,0,0,0,0,5
980,0.0,0.0,68,0,0,0,0,0,0,0,0,5
985,0.0,0.0,68,0,0,0,0,0,0,0,0,5
990,0.0,0.0,68,0,0,0,0,0,0,0,0,5
995,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1000,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1005,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1010,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1015,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1020,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1025,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1030,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1035,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1040,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1045,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1050,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1055,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1060,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1065,0.098729875008,48.9095,68,0,0,0,0,0,0,0,0,5
1070,0.31348972396799996,48.9095,68,0,0,0,0,0,0,0,0,5
1075,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1080,0.36956590675199996,48.9095,68,0,0,0,0,0,0,0,0,5
1085,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1090,8.606959994987724,48.9095,68,0,0,0,0,0,0,0,0,5
1095,4.050334115288341,48.9095,68,0,0,0,0,0,0,0,0,5
1100,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1105,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1110,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1115,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1120,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1125,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1130,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1135,0.36941676796800005,48.9095,68,0,0,0,0,0,0,0,0,5
1140,0.124456315248,48.9095,68,0,0,0,0,0,0,0,0,5
1145,0.13750595884800002,48.9095,68,0,0,0,0,0,0,0,0,5
1150,0.0,0.0,68,0,0,0,0,0,0,0,0,5
