,800,1200,2100,2700,3500
1,810.808617308495,889.0949303042954,978.7736545196339,1047.030750800798,1124.051240327761
2,768.8417007647264,838.4619915507925,921.2273722055569,982.9606090704044,1053.3598681449862
3,771.6654608105948,839.9225570917592,922.5905667104587,985.6869980802084,1056.96259647937
4,753.8465612108043,819.3772684821647,898.5399208025448,958.130994873975,1025.4143807944952
5,780.818338200651,850.9254841670395,935.6382855430921,1000.1952824538079,1070.789283600519
6,737.0013719716582,801.0715137020521,875.9498404355977,934.3724620742545,999.1242010570993
7,730.7696256635348,793.6713149611555,868.7443837668297,927.1670054054867,990.4581788473653
8,722.0062324177363,782.863129958004,855.1124387178102,912.3666079236937,973.7103606442835
9,721.3246351652854,781.9867906334241,856.475633222712,911.0034134187918,971.762939922995
10,718.6956171915458,779.0656595514913,850.3412579506528,906.3296036876992,966.991759155838
11,724.440508319347,786.0763741481301,859.2020222325159,913.3403182843379,978.578912447505
12,742.6488920633951,806.7190337937892,883.2526681404296,941.3831766708932,1007.3033680865115
13,718.2087620112236,778.8709174793624,850.9254841670393,903.797956750024,965.3364515427428
14,727.5563814734087,789.873844554643,863.8758319636084,919.8641777006546,982.668495962211
15,632.4248792384622,676.6313296117127,732.6196753487591,769.3285559450485,818.5009291575847
16,806.8164048298535,882.7658129601076,972.6392792475749,1039.4358099877727,1116.8457836589932
