Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Tank Temperature (deg C),Time Step (min),Total Energy Change (Btu),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu)
80,0.0,68,40,134.36625276487047,-129.07711471172945,-0.0,0.0,901.7290224323889,901.7290224323889,1.6922347568538296,56.87014042492804,5.0,772.6519077206594,158.5,13.208333333333332,532.8628423333333
85,0.0,68,40,135.64131812938112,-131.55701603903495,-0.0,0.0,900.0002379375743,900.0002379375743,1.6889904238707971,57.5785100718784,5.0,768.4432218985394,158.5,13.208333333333332,532.8628423333332
90,0.0,68,40,136.90943812888554,-134.02340918050388,-0.0,0.0,0.0,0.0,0.0,58.28302118271419,5.0,-134.02340918050388,5.0,0.41666666666666663,0.0
95,0.0,68,40,136.68826659566068,-133.59324803420296,-0.0,0.0,0.0,0.0,0.0,58.160148108700376,5.0,-133.59324803420296,5.0,0.41666666666666663,0.0
100,0.0,68,40,136.46780493394888,-133.16446753187248,-0.0,0.0,0.0,0.0,0.0,58.03766940774938,5.0,-133.16446753187248,5.0,0.41666666666666663,0.0
105,0.0,68,40,136.24805086534857,-132.73706324220154,-0.0,0.0,0.0,0.0,0.0,57.91558381408254,5.0,-132.73706324220154,5.0,0.41666666666666663,0.0
110,0.0,68,40,136.029002118771,-132.31103074810204,-0.0,0.0,0.0,0.0,0.0,57.79389006598388,5.0,-132.31103074810204,5.0,0.41666666666666663,0.0
115,0.0,68,40,135.8106564304166,-131.88636564666288,-0.0,0.0,0.0,0.0,0.0,57.672586905787,5.0,-131.88636564666288,5.0,0.41666666666666663,0.0
120,0.0,68,40,135.59301154375174,-131.46306354910448,-0.0,0.0,0.0,0.0,0.0,57.55167307986208,5.0,-131.46306354910448,5.0,0.41666666666666663,0.0
125,0.0,68,40,135.37606520948535,-131.04112008073352,-0.0,0.0,0.0,0.0,0.0,57.43114733860297,5.0,-131.04112008073352,5.0,0.41666666666666663,0.0
130,0.0,68,40,135.15981518554568,-130.62053088089775,-0.0,0.0,0.0,0.0,0.0,57.31100843641427,5.0,-130.62053088089775,5.0,0.41666666666666663,0.0
135,0.0,68,40,134.9442592370571,-130.20129160294078,-0.0,0.0,0.0,0.0,0.0,57.19125513169839,5.0,-130.20129160294078,5.0,0.41666666666666663,0.0
140,0.0,68,40,134.7293951363171,-129.78339791415723,-0.0,0.0,0.0,0.0,0.0,57.07188618684283,5.0,-129.78339791415723,5.0,0.41666666666666663,0.0
145,0.0,68,40,134.5152206627731,-129.366845495748,-0.0,0.0,0.0,0.0,0.0,56.95290036820727,5.0,-129.366845495748,5.0,0.41666666666666663,0.0
150,0.0,68,40,134.30173360299963,-128.9516300427756,-0.0,0.0,0.0,0.0,0.0,56.834296446110905,5.0,-128.9516300427756,5.0,0.41666666666666663,0.0
155,0.0,68,40,134.0889317506755,-128.53774726411962,-0.0,0.0,0.0,0.0,0.0,56.71607319481972,5.0,-128.53774726411962,5.0,0.41666666666666663,0.0
160,0.0,68,40,133.87681290656082,-128.12519288243237,-0.0,0.0,0.0,0.0,0.0,56.59822939253378,5.0,-128.12519288243237,5.0,0.41666666666666663,0.0
165,0.0,68,40,133.66537487847444,-127.71396263409488,-0.0,0.0,0.0,0.0,0.0,56.48076382137469,5.0,-127.71396263409488,5.0,0.41666666666666663,0.0
170,0.0,68,40,133.4546154812712,-127.30405226917249,-0.0,0.0,0.0,0.0,0.0,56.363675267372884,5.0,-127.30405226917249,5.0,0.41666666666666663,0.0
175,0.0,68,40,133.24453253681938,-126.89545755137131,-0.0,0.0,0.0,0.0,0.0,56.246962520455206,5.0,-126.89545755137131,5.0,0.41666666666666663,0.0
180,0.0,68,40,133.03512387397816,-126.48817425799402,-0.0,0.0,0.0,0.0,0.0,56.130624374432315,5.0,-126.48817425799402,5.0,0.41666666666666663,0.0
185,0.0,68,40,132.8263873285753,-126.08219817989674,-0.0,0.0,0.0,0.0,0.0,56.01465962698627,5.0,-126.08219817989674,5.0,0.41666666666666663,0.0
