,800,1200,2100,2700,3500
1,137.4893460054693,147.1278580061529,177.36853025197775,198.70679033597028,216.66693121886897
2,121.11709792216033,131.7472480833089,151.05676280642635,165.45620360875083,178.8640062506104
3,119.39217880164077,129.89982896278931,151.59582472653577,167.1591703291337,177.41736809014552
4,115.08327632092974,126.2831908023244,142.45716256470357,154.68543424650838,166.14698920793046
5,121.77678600205094,135.0541981638832,153.18488664664514,169.71260608946181,187.61594937249728
6,110.65359288016404,119.53530728098443,134.80357664322685,145.57302208467618,152.74559832503172
7,110.51015480027343,118.5578858409024,130.4070193622424,140.96818384363704,148.84263392421136
8,109.72265480027342,116.75351200068363,128.45303600205094,137.7636552031448,144.52584096347297
9,109.14070240013669,117.61202632092974,126.70100736155871,137.3287337630628,146.0170886439105
10,108.90445240013669,117.97436920109381,129.37811224240644,138.1584195233909,146.94216488426602
11,112.96147872106648,122.24928600205092,139.13044352475825,149.61902944623495,156.73121520656312
12,115.5349930413126,125.14569080232441,143.68692456538722,150.4727817657974,162.74910104746556
13,111.88077632092974,120.35210024172278,133.49209096347298,142.0965387244848,154.8122318463717
14,115.11600736155872,125.81889088289867,141.94567456538724,147.3934864854966,161.576755847739
15,100.63124999999995,105.02031192010935,110.67640480027342,113.76687384021874,121.41397872106647
16,135.77676976511376,152.3909748876843,183.27399001367317,200.94022377673593,222.37200050053713
