Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Dewpoint Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Dewpoint Temperature [C](Hourly),GARAGE:Zone Mean Air Temperature [C](Hourly),GARAGE:Zone Mean Air Dewpoint Temperature [C](Hourly),WATER HEATER_1:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER_1:Water Heater Use Side Inlet Temperature [C](Hourly),WATER HEATER_1:Water Heater Heating Energy [J](Hourly)
 06/09  21:00:00,6.908333333,4.97952419,13.65577878,21.666434,9.738769283,17.79968238,7.781527334,14.21595107,10.16453175,0,13.65577878,0
 06/09  22:00:00,6.7,4.853149307,13.65577878,21.66637922,9.659944354,17.87179602,7.785330816,12.97837436,10.14151976,0.002004448,13.65577878,1656716.755
 06/09  23:00:00,6.991666667,5.029831328,13.65577878,21.66639404,9.587203366,17.94561055,7.789768754,12.27078233,10.12220206,0,13.65577878,0
 06/09  24:00:00,7.55,5.620957193,13.65577878,21.66643353,9.509945639,18.02719854,7.786344106,11.83248105,10.09759271,0,13.65577878,0
 06/10  01:00:00,7.45,5.771174313,13.75535826,21.66645148,9.447098719,18.09044964,7.785808562,11.61939332,10.07767291,0,13.65577878,0
 06/10  02:00:00,7.2,5.777577215,13.75535826,21.66646055,9.394410954,18.14797155,7.791637564,11.4703166,10.0639754,0,13.65577878,1495821.313
 06/10  03:00:00,7.2,5.877125015,13.75535826,21.66647123,9.346852182,18.19508711,7.797545297,11.33502172,10.05037775,0,13.65577878,0
 06/10  04:00:00,7.2,5.876734537,13.75535826,21.66647415,9.292772321,18.23031509,7.794829044,11.20549285,10.02882497,0,13.65577878,0
 06/10  05:00:00,7.841666667,6.629211155,13.75535826,21.6665161,9.25638757,18.24756282,7.803073126,11.04236676,10.02039491,0,13.65577878,0
 06/10  06:00:00,10.28333333,8.753683521,13.75535826,21.66663305,9.230762722,18.33650966,7.814127631,11.7144933,10.01888307,0.000802879,13.7109745,1564473.126
